location,dist,azimuth,location_type,city_8,orig_country_103
"('Aidan', 'Cape Coast', 'Ghana')",123.74532857981312,-2.746114263547332,1,Accra,Ghana
"('Ho', 'Ho', 'Ghana')",124.83746544881589,0.9717323201500807,9,Accra,Ghana
"('nan', 'Ngethi', 'Kenya')",126.50582725930167,0.21602831636472414,1,Nairobi,Kenya
"('Anloga', 'Anloga', 'Ghana')",126.91251391025472,0.21637829759266247,1,Accra,Ghana
"('Chuka', 'Chuka', 'Kenya')",130.30980247809953,0.6946309746781566,1,Nairobi,Kenya
"('Witbank', 'Witbank', 'South Africa')",130.66953587159796,0.2296728359856268,1,Johannesburg,South Africa
"('Keta', 'Keta', 'Ghana')",130.77578373898143,0.20144290073153454,2,Accra,Ghana
"('Mpraeso', 'Mpraeso', 'Ghana')",131.48710596149775,2.026281878804758,3,Accra,Ghana
"('Sakhile', 'Katlehong', 'South Africa')",132.36526854532605,-0.4782167070929096,2,Johannesburg,South Africa
"('Makindu', 'Makindu', 'Kenya')",134.5824613201992,-0.7259222695515911,1,Nairobi,Kenya
"('Obo Kwahu', 'Obo', 'Ghana')",134.96916063969175,2.0502645269376316,1,Accra,Ghana
"('Cape Coast', 'Cape Coast', 'Ghana')",135.2528069705219,-2.644940392393452,8,Accra,Ghana
"('Makueni', 'Makueni', 'Kenya')",138.0524464544846,-0.6836624711957153,5,Nairobi,Kenya
"('Narok', 'Narok', 'Kenya')",141.82834313742794,3.065987121811906,1,Nairobi,Kenya
"('Dzodze', 'Dzodze', 'Ghana')",142.17142001928804,0.44284107809527196,2,Accra,Ghana
"('Meru', 'Meru', 'Kenya')",142.2571985436946,0.9550525161358032,3,Nairobi,Kenya
"('Juaso', 'Juaso', 'Ghana')",145.05399137320748,2.3825821004719336,1,Accra,Ghana
"('Mwingi', 'Mwingi', 'Kenya')",151.5402809027544,0.27125538941117006,1,Nairobi,Kenya
"('Makueni', 'Wote', 'Kenya')",152.0807049784701,-0.6018446899346368,1,Nairobi,Kenya
"('Dennilton', 'Dennilton', 'South Africa')",152.71796120299484,0.6235738595045986,1,Johannesburg,South Africa
"('Kpando', 'Kpando', 'Ghana')",154.58990871248412,1.2346294833216813,2,Accra,Ghana
"('Konongo', 'Kumasi', 'Ghana')",155.80631209380246,2.40859474110203,1,Accra,Ghana
"('Gbegame', 'Lome', 'Togo')",158.71547700317285,0.5142792347074089,1,Accra,Togo
"('Lome', 'Lome', 'Togo')",160.7659622863131,0.31240410346583436,18,Accra,Togo
"('Zogbedji', 'Lome', 'Togo')",160.7659622863131,0.31240410346583436,1,Accra,Togo
"('Meru Town', 'Meru Town', 'Kenya')",162.17408971082557,0.8982737057177325,1,Nairobi,Kenya
"('Kpangalam', 'Sokode', 'Togo')",165.27383633912186,0.32047432213623384,1,Accra,Togo
"('Klerksdorp', 'Klerksdorp', 'South Africa')",167.84995854812757,-2.7262405867568535,1,Johannesburg,South Africa
"('Aflao', 'Aflao', 'Ghana')",168.60997808944185,0.3837714972318968,2,Accra,Ghana
"('Kinamba', 'Kinamba', 'Kenya')",168.98502319641653,1.8484108161286186,1,Nairobi,Kenya
"('Aflao', 'Aflao', 'Togo')",171.49386955966264,0.4303750858933725,2,Accra,Togo
"('Adawlato', 'Adawlato', 'Togo')",172.00404356414091,0.39137135798029854,1,Accra,Togo
"('nan', 'Lama Kara', 'Togo')",172.9730148205206,0.4060968743175315,1,Accra,Togo
"('Avepozo', 'Lome', 'Togo')",175.43301770108278,0.3104486020904114,1,Accra,Togo
"('Kyebi', 'Kyebi', 'Ghana')",176.89614585437926,2.9972058075510635,1,Accra,Ghana
"('Obuasi', 'Obuasi', 'Ghana')",178.12056911903997,2.8073720893177185,1,Accra,Ghana
"('Kpalime', 'Kpalime', 'Togo')",178.65124060619098,1.0131923503829539,5,Accra,Togo
"('Agou', 'Agou', 'Togo')",179.44549228241445,0.9441509171045176,1,Accra,Togo
"('Kitui', 'Kitui', 'Kenya')",181.6929977103207,-0.1378914368679044,11,Nairobi,Kenya
"('Bekwai', 'Bekwai', 'Ghana')",183.21645150182852,2.5479648500842145,1,Accra,Ghana
"('Takoradi', 'Takoradi', 'Ghana')",184.44404334762532,-2.731075644465247,7,Accra,Ghana
"('Ainamoi', 'Kericho', 'Kenya')",185.26601417714582,2.6403615014890183,1,Nairobi,Kenya
"('Ngaramtoni', 'Ngaramtoni', 'Tanzania')",185.39205905011914,-1.726746794422628,1,Nairobi,Tanzania
"('Bethlehem', 'Bethlehem', 'South Africa')",186.54512799580323,-1.4691237135706623,1,Johannesburg,South Africa
"('Ejisu', 'Ejisu', 'Ghana')",186.73875595550174,2.480784544496498,2,Accra,Ghana
"('Kericho', 'Kericho', 'Kenya')",187.52907353832512,2.6186831988592094,1,Nairobi,Kenya
"('Sekondi', 'Sekondi', 'Ghana')",190.12560238491253,-2.6874502272668868,3,Accra,Ghana
"('Hohoe', 'Hohoe', 'Ghana')",194.65364427072313,1.1616918598592474,2,Accra,Ghana
"('Ashanti Mampong', 'Ashanti Mampong', 'Ghana')",194.7759682001657,2.517581862324769,1,Accra,Ghana
"('Sondu', 'Sondu', 'Kenya')",194.87047730323383,2.7495400642571766,1,Nairobi,Kenya
"('Atonsu', 'Kumasi', 'Ghana')",195.03651567257498,2.458826296338557,1,Accra,Ghana
"('Fante New Town', 'Kumasi', 'Ghana')",195.3044076859241,2.5310441046160874,1,Accra,Ghana
"('Maua', 'Maua', 'Kenya')",195.31576347541187,0.822735702436517,1,Nairobi,Kenya
"('Moshi', 'Moshi', 'Tanzania')",195.51412039175761,-1.2173260116125817,1,Nairobi,Tanzania
"('Windy Ridge', 'Takoradi', 'Ghana')",196.1769164598989,-2.6846733109625283,1,Accra,Ghana
"('Kumasi', 'Kumasi', 'Ghana')",196.40088264922133,2.531191449409267,9,Accra,Ghana
"('Arusha', 'Arusha', 'Tanzania')",201.75927034656948,-1.623103567184356,3,Nairobi,Tanzania
"('nan', 'Dadieso', 'Ghana')",202.88836534414241,3.041934413586127,1,Accra,Ghana
"('nan', 'Sachangwan', 'Kenya')",204.02669203802677,2.1912684899619124,1,Nairobi,Kenya
"('Mampong', 'Mampong', 'Ghana')",204.78384033989994,2.302007168515904,1,Accra,Ghana
"('Keroka', 'Kisii', 'Kenya')",205.24836793480782,2.9170297043214726,1,Nairobi,Kenya
"('nan', 'Cotonou', 'Togo')",205.62766354170284,0.3004497562634546,1,Accra,Togo
"('Nyamira', 'Nyamira', 'Kenya')",209.4474298458329,2.8648777352591197,11,Nairobi,Kenya
"('Nkawie', 'Nkawie', 'Ghana')",211.88949089868285,2.6001077602571603,1,Accra,Ghana
"('Vogan', 'Vogan', 'Togo')",212.59270980821432,0.4241389124903314,1,Accra,Togo
"('Volksrust', 'Mpumalanga', 'South Africa')",216.28637741813444,-0.47516593643964045,1,Johannesburg,South Africa
"('Katito', 'Katito', 'Kenya')",217.12810403028206,2.7041612207155716,1,Nairobi,Kenya
"('Ermelo', 'Ermelo', 'South Africa')",217.33815786799124,-0.14856739495138382,1,Johannesburg,South Africa
"('Mokopane', 'Mokopane', 'South Africa')",222.86558801929624,1.0629486886340953,1,Johannesburg,South Africa
"('Kapsabet', 'Kapsabet', 'Kenya')",226.60477604476642,2.5041685919017826,1,Nairobi,Kenya
"('Kisii', 'Kisii', 'Kenya')",226.95541672778117,2.9221338783085686,18,Nairobi,Kenya
"('Kilgoris', 'Kilgoris', 'Kenya')",227.20551148179433,3.0377360330505545,1,Nairobi,Kenya
"('Phuthaditjhaba', 'Phuthaditjhaba', 'South Africa')",227.26952505942143,-1.2313497321627087,1,Johannesburg,South Africa
"('Mannies', 'Welkom', 'South Africa')",230.0839607860314,-2.24954447731562,1,Johannesburg,South Africa
"('Eldoret', 'Eldoret', 'Kenya')",230.75752682606296,2.353386183866443,3,Nairobi,Kenya
"('Uasin Gishu', 'Uasin Gishu', 'Kenya')",232.97240861032665,2.3213964542215204,1,Nairobi,Kenya
"('Oyugis', 'Oyugis', 'Kenya')",234.34832489068643,2.8364748077358795,5,Nairobi,Kenya
"('Hleswaneng', 'Jane Furse', 'South Africa')",234.838328261822,0.5001946677999629,1,Johannesburg,South Africa
"('nan', 'Madibong', 'South Africa')",238.2230024376764,0.5076150684946598,1,Johannesburg,South Africa
"('Newcastle', 'Newcastle', 'South Africa')",240.51508126695825,-0.6087452998553592,1,Johannesburg,South Africa
"('Ahero', 'Ahero', 'Kenya')",242.66176481276275,2.7170754616827275,1,Nairobi,Kenya
"('Rongo', 'Rongo', 'Kenya')",242.94453382879578,2.9436228386937437,1,Nairobi,Kenya
"('Abujuro', 'Abujuro', 'Ghana')",244.60453209851542,1.4957241509699712,1,Accra,Ghana
"('Kisumu', 'Kisumu', 'Kenya')",245.80514193091705,2.6882632231563743,31,Nairobi,Kenya
"('nan', 'Bato', 'Togo')",246.6537437312288,1.1618776005117097,1,Accra,Togo
"('Ogembo', 'Ogembo', 'Kenya')",246.8298632263189,2.9675979675261903,1,Nairobi,Kenya
"('Awendo', 'Awendo', 'Kenya')",248.58017229350835,3.004302297902599,4,Nairobi,Kenya
"('Hlotse', 'Hlotse', 'Lesotho')",248.655904134628,-1.6019299236184263,1,Johannesburg,Lesotho
"('Taita Taveta', 'Taita Taveta', 'Kenya')",248.93005150577633,-0.8563757399811532,1,Nairobi,Kenya
"('Kete Krachi', 'Kete Krachi', 'Ghana')",251.1535275183025,1.4944444762875264,1,Accra,Ghana
"('Lebowakgomo', 'Lebowakgomo', 'South Africa')",251.58106083051976,0.9032620108273447,1,Johannesburg,South Africa
"('Newtown', 'Newtown', 'Ghana')",251.87181725761917,3.0858434075922654,1,Accra,Ghana
"('nan', 'Bibiani', 'Ghana')",252.28856496271058,2.7968113147866775,1,Accra,Ghana
"('Bibiani', 'Bibiani', 'Ghana')",254.1141106233903,2.7283973861568227,1,Accra,Ghana
"('Migori Town', 'Migori Town', 'Kenya')",254.25512313495,3.064939476277349,2,Nairobi,Kenya
"('Pietersburg', 'Pietersburg', 'South Africa')",254.92029542832952,0.8798581122642302,2,Johannesburg,South Africa
"('Chavakali', 'Chavakali', 'Kenya')",257.06318732781864,2.6206782064335172,1,Nairobi,Kenya
"('nan', 'Kasule', 'Kenya')",259.0196900858691,2.710519661463709,1,Nairobi,Kenya
"('nan', 'Dumbe', 'South Africa')",259.69135543553375,-1.0704096659858073,1,Johannesburg,South Africa
"('Mbale', 'Mbale', 'Kenya')",260.3909808796558,-0.7923845050957007,1,Nairobi,Kenya
"('Mafikeng', 'Mafikeng', 'South Africa')",260.6876460800094,3.1156464252190026,2,Johannesburg,South Africa
"('nan', 'Kisumu', 'Kenya')",261.9654143442435,2.7228677043580722,1,Nairobi,Kenya
"('Voi', 'Voi', 'Kenya')",263.69285901527985,-0.781587489889933,1,Nairobi,Kenya
"('Gaborone', 'Gaborone', 'Botswana')",264.9545100537029,2.639312721234129,1,Johannesburg,Botswana
"('Atakpame', 'Atakpame', 'Togo')",266.14711391485406,0.9780578279812049,1,Accra,Togo
"('Gucha', 'Gucha', 'Kenya')",266.18128623855193,2.979383504433716,1,Nairobi,Kenya
"('Gisambai', 'Gisambai', 'Kenya')",268.3988829891277,2.674986582503604,1,Nairobi,Kenya
"('Kakamega', 'Kitale', 'Kenya')",269.3386015035923,2.4945118495864844,1,Nairobi,Kenya
