,city_8,location,num_moves,dist,azimuth,lat,lon,location_pair,location_pair_id,locations,country,loc2,loc1
265,Johannesburg,"('Kwekwe', 'Kwekwe', 'Zimbabwe')",2,711.3962345357664,1.2568252881541422,29.8140035,-18.9284366,"('Johannesburg', ('Kwekwe', 'Kwekwe', 'Zimbabwe'))",132,"('Kwekwe', 'Kwekwe', 'Zimbabwe')",Zimbabwe,Kwekwe,Kwekwe
266,Johannesburg,"('Lubumbashi', 'Lubumbashi', 'Democratic Republic of the Congo')",2,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Lubumbashi', 'Lubumbashi', 'Democratic Republic of the Congo'))",133,Johannesburg,Democratic Republic of the Congo,Lubumbashi,Lubumbashi
267,Johannesburg,"('Lubumbashi', 'Lubumbashi', 'Democratic Republic of the Congo')",2,1431.6153647238723,1.5554475642688845,27.482626399999997,-11.664231599999999,"('Johannesburg', ('Lubumbashi', 'Lubumbashi', 'Democratic Republic of the Congo'))",133,"('Lubumbashi', 'Lubumbashi', 'Democratic Republic of the Congo')",Democratic Republic of the Congo,Lubumbashi,Lubumbashi
268,Johannesburg,"('Lusaka', 'Lusaka', 'Zambia')",2,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Lusaka', 'Lusaka', 'Zambia'))",134,Johannesburg,Zambia,Lusaka,Lusaka
269,Johannesburg,"('Lusaka', 'Lusaka', 'Zambia')",2,1057.2525744477189,1.5024363047692288,28.282153499999996,-15.416448800000001,"('Johannesburg', ('Lusaka', 'Lusaka', 'Zambia'))",134,"('Lusaka', 'Lusaka', 'Zambia')",Zambia,Lusaka,Lusaka
270,Johannesburg,"('Maseru', 'Maseru', 'Lesotho')",2,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Maseru', 'Maseru', 'Lesotho'))",135,Johannesburg,Lesotho,Maseru,Maseru
271,Johannesburg,"('Maseru', 'Maseru', 'Lesotho')",2,338.3264475438374,-1.7322761148733519,27.478222,-29.310053999999997,"('Johannesburg', ('Maseru', 'Maseru', 'Lesotho'))",135,"('Maseru', 'Maseru', 'Lesotho')",Lesotho,Maseru,Maseru
272,Johannesburg,"('Nelspruit', 'Nelspruit', 'South Africa')",2,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Nelspruit', 'Nelspruit', 'South Africa'))",136,Johannesburg,South Africa,Nelspruit,Nelspruit
273,Johannesburg,"('Nelspruit', 'Nelspruit', 'South Africa')",2,324.8728194290794,0.2547237978965006,30.984721999999998,-25.481944,"('Johannesburg', ('Nelspruit', 'Nelspruit', 'South Africa'))",136,"('Nelspruit', 'Nelspruit', 'South Africa')",South Africa,Nelspruit,Nelspruit
274,Johannesburg,"('Angola', 'Angola', 'Angola')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Angola', 'Angola', 'Angola'))",137,Johannesburg,Angola,Angola,Angola
275,Johannesburg,"('Angola', 'Angola', 'Angola')",1,1887.9942504459468,2.186439883285744,17.5691241,-11.877576800000002,"('Johannesburg', ('Angola', 'Angola', 'Angola'))",137,"('Angola', 'Angola', 'Angola')",Angola,Angola,Angola
276,Johannesburg,"('Awasa', 'Awasa', 'Ethiopia')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Awasa', 'Awasa', 'Ethiopia'))",138,Johannesburg,Ethiopia,Awasa,Awasa
277,Johannesburg,"('Awasa', 'Awasa', 'Ethiopia')",1,3263.9894901615517,1.0577380819422935,38.478609999999996,7.048102900000001,"('Johannesburg', ('Awasa', 'Awasa', 'Ethiopia'))",138,"('Awasa', 'Awasa', 'Ethiopia')",Ethiopia,Awasa,Awasa
278,Johannesburg,"('Bandal', 'Bandal', 'Democratic Republic of the Congo')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Bandal', 'Bandal', 'Democratic Republic of the Congo'))",139,Johannesburg,Democratic Republic of the Congo,Bandal,Bandal
279,Johannesburg,"('Bandal', 'Bandal', 'Democratic Republic of the Congo')",1,2451.1339820791422,1.9781873532892422,17.70037,-5.00703,"('Johannesburg', ('Bandal', 'Bandal', 'Democratic Republic of the Congo'))",139,"('Bandal', 'Bandal', 'Democratic Republic of the Congo')",Democratic Republic of the Congo,Bandal,Bandal
