Q100,nearNeighbor,Q103,Q100a,neighborhood,city,lat,lon,UNWPP_joined,Count
Chiawelo,Johannesburg,South Africa,Town,Berea,Johannesburg,28.049722,-26.205,24049,1
Chibitoki,Bujumbura,Burundi,Town,Kawangware,Nairobi,29.3675028,-3.3638125,9777,1
Chibula,Mzimba,Malawi,Village,Katlehong,Johannesburg,33.56919891,-11.845635,108,1
Chibuto,Maputo,Mozambique,Village,Diepsloot,Johannesburg,33.54905665,-24.2656131,13,1
Chiga,Kisumu,Kenya,Town,Kawangware,Nairobi,34.4936611,-0.5492799,385,2
Chikwawa,Blantyre,Malawi,Village,Berea,Johannesburg,34.72283932,-16.21538195,109,1
Chingola,Chingola,Zambia,City,Berea,Johannesburg,27.8600422,-12.5474926,97,1
Chipinge,Chipinge Town,Zimbabwe,Town,Katlehong,Johannesburg,32.37868474,-20.6177688,77,1
Chitungwisa,Harare,Zimbabwe,Town,Katlehong,Johannesburg,31.045686,-17.831773,3201,1
Chwele,Bungoma,Kenya,Village,Kayole,Nairobi,34.5798327,0.737102,1309,1
Cittagonge,Lohagora,Bangladesh,Town,Diepsloot,Johannesburg,89.6499065,23.1881892,#N/A,1
Comatipoti,Nelspruit,South Africa,Village,Katlehong,Johannesburg,30.984722,-25.481944,2089,1
Comptonville,Johannesburg,South Africa,Town,Berea,Johannesburg,28.049722,-26.205,24049,1
Congo,Bukavu,Congo-Brazzaville,Town,Kayole,Nairobi,36.75373651,-1.28866165,#N/A,1
Cotonou,Abidjan,Togo,Village,Madina,Accra,2.4252507,6.3676953,#N/A,1
Cotonou,Gbagemey,Benin,City,Madina,Accra,2.4252507,6.3676953,16008,1
Cotonou,Pharmacy Marina,Benin,City,Madina,Accra,2.4252507,6.3676953,16008,1
Cotonou,Porto Novo,Benin,City,James Town,Accra,2.4252507,6.3676953,16008,1
Coudry Park,Bulawayo,Zimbabwe,Town,Diepsloot,Johannesburg,28.5084333,-20.0992305,1683,1
Creek Town,Calabar,Nigeria,Town,Madina,Accra,8.275178,4.978259,1758,1
Cuningmoore A,Mkhuhlu,South Africa,Village,Katlehong,Johannesburg,31.2450316,-24.9776929,1752,1
Dabala,Sogakope,Ghana,Village,James Town,Accra,0.5951312,5.9989117,178,1
Dabou,Abidjan,Cote D'Ivoire,Town,James Town,Accra,-4.016107,5.320357,#N/A,1
Daboya,Tamale,Ghana,Village,Madina,Accra,-1.3836878,9.5302819,11,1
Dadieso,Sefwi Wiaso,Ghana,Town,Madina,Accra,-1.9934495,5.8679091,58,1
Dafina,Leo,Burkina Faso,Village,James Town,Accra,-2.117444746,11.18140975,81,1
Dalun,Tamale,Ghana,Village,Old Fadama,Accra,-0.8423986,9.4051992,544,1
Damanko,Kpassa,Ghana,Town,Old Fadama,Accra,0.1811977,8.6918905,84,1
Dede,Awendo,Kenya,Village,Ongata Rongai,Nairobi,34.30964322,-1.0211616,262,1
Dedza,Blantyre,Malawi,Village,Berea,Johannesburg,34.31965144,-14.2374479,959,1
Delmas,Springs,South Africa,City,Berea,Johannesburg,28.431667,-26.243056,2274,1
Denu,Aflao,Ghana,Village,Old Fadama,Accra,1.147734,6.101257,569,1
