,Unnamed: 0,city_8,location,num_moves,dist,azimuth,lat,lon,location_pair,level,location_pair_id,locations,country,loc2,loc1,out_thm,ID
72,44,Nairobi,"('Arusha', 'Arusha', 'Tanzania')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Arusha', 'Arusha', 'Tanzania'))",1,22,Nairobi,Tanzania,Arusha,Arusha,,
73,45,Nairobi,"('Arusha', 'Arusha', 'Tanzania')",2,201.75927034656948,-1.623103567184356,36.8004200748534,-3.52386665,"('Nairobi', ('Arusha', 'Arusha', 'Tanzania'))",1,22,"('Arusha', 'Arusha', 'Tanzania')",Tanzania,Arusha,Arusha,,
74,46,Nairobi,"('Bondeni', 'Nakuru', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Bondeni', 'Nakuru', 'Kenya'))",1,23,Nairobi,Kenya,Nakuru,Bondeni,Kin,2.0
75,47,Nairobi,"('Bondeni', 'Nakuru', 'Kenya')",2,115.34258885742528,2.264451572586436,36.082991,-0.2937962,"('Nairobi', ('Bondeni', 'Nakuru', 'Kenya'))",1,23,"('Bondeni', 'Nakuru', 'Kenya')",Kenya,Nakuru,Bondeni,Kin,2.0
76,48,Nairobi,"('Githurai', 'Nairobi', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Githurai', 'Nairobi', 'Kenya'))",1,24,Nairobi,Kenya,Nairobi,Githurai,Kin,2.0
77,49,Nairobi,"('Githurai', 'Nairobi', 'Kenya')",2,5.627045270233516,1.5721219630762306,36.9168615,-1.202836,"('Nairobi', ('Githurai', 'Nairobi', 'Kenya'))",1,24,"('Githurai', 'Nairobi', 'Kenya')",Kenya,Nairobi,Githurai,Kin,2.0
78,50,Nairobi,"('Kabiria', 'Nairobi', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kabiria', 'Nairobi', 'Kenya'))",1,25,Nairobi,Kenya,Nairobi,Kabiria,Education,1.0
79,50,Nairobi,"('Kabiria', 'Nairobi', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kabiria', 'Nairobi', 'Kenya'))",1,25,Nairobi,Kenya,Nairobi,Kabiria,Housing,1.0
80,51,Nairobi,"('Kabiria', 'Nairobi', 'Kenya')",2,3.0998559018159475,-2.764282077647708,36.7256737,-1.2912477,"('Nairobi', ('Kabiria', 'Nairobi', 'Kenya'))",1,25,"('Kabiria', 'Nairobi', 'Kenya')",Kenya,Nairobi,Kabiria,Education,1.0
81,51,Nairobi,"('Kabiria', 'Nairobi', 'Kenya')",2,3.0998559018159475,-2.764282077647708,36.7256737,-1.2912477,"('Nairobi', ('Kabiria', 'Nairobi', 'Kenya'))",1,25,"('Kabiria', 'Nairobi', 'Kenya')",Kenya,Nairobi,Kabiria,Housing,1.0
82,52,Nairobi,"('Kimbo', 'Kiambu', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kimbo', 'Kiambu', 'Kenya'))",1,26,Nairobi,Kenya,Kiambu,Kimbo,Work,2.0
83,53,Nairobi,"('Kimbo', 'Kiambu', 'Kenya')",2,1.9925875782552451,-1.5962788374100405,36.75118340488738,-1.30076905,"('Nairobi', ('Kimbo', 'Kiambu', 'Kenya'))",1,26,"('Kimbo', 'Kiambu', 'Kenya')",Kenya,Kiambu,Kimbo,Work,2.0
84,54,Nairobi,"('Kitale', 'Kitale', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kitale', 'Kitale', 'Kenya'))",1,27,Nairobi,Kenya,Kitale,Kitale,,
85,55,Nairobi,"('Kitale', 'Kitale', 'Kenya')",2,284.1893777695408,2.311867853982756,35.000236,1.018076,"('Nairobi', ('Kitale', 'Kitale', 'Kenya'))",1,27,"('Kitale', 'Kitale', 'Kenya')",Kenya,Kitale,Kitale,,
86,56,Nairobi,"('Kitengela', 'Nairobi', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kitengela', 'Nairobi', 'Kenya'))",1,28,Nairobi,Kenya,Nairobi,Kitengela,(No Answer),1.0
87,56,Nairobi,"('Kitengela', 'Nairobi', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kitengela', 'Nairobi', 'Kenya'))",1,28,Nairobi,Kenya,Nairobi,Kitengela,Work,2.0
88,57,Nairobi,"('Kitengela', 'Nairobi', 'Kenya')",2,24.02364293469836,-0.295656707200197,36.95907,-1.474564,"('Nairobi', ('Kitengela', 'Nairobi', 'Kenya'))",1,28,"('Kitengela', 'Nairobi', 'Kenya')",Kenya,Nairobi,Kitengela,(No Answer),1.0
89,57,Nairobi,"('Kitengela', 'Nairobi', 'Kenya')",2,24.02364293469836,-0.295656707200197,36.95907,-1.474564,"('Nairobi', ('Kitengela', 'Nairobi', 'Kenya'))",1,28,"('Kitengela', 'Nairobi', 'Kenya')",Kenya,Nairobi,Kitengela,Work,2.0
90,58,Nairobi,"('Langata', 'Nairobi', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Langata', 'Nairobi', 'Kenya'))",1,29,Nairobi,Kenya,Nairobi,Langata,Housing,1.0
91,58,Nairobi,"('Langata', 'Nairobi', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Langata', 'Nairobi', 'Kenya'))",1,29,Nairobi,Kenya,Nairobi,Langata,Work,1.0
92,59,Nairobi,"('Langata', 'Nairobi', 'Kenya')",2,5.892154730974068,-0.969529080979578,36.7816659,-1.3328938,"('Nairobi', ('Langata', 'Nairobi', 'Kenya'))",1,29,"('Langata', 'Nairobi', 'Kenya')",Kenya,Nairobi,Langata,Housing,1.0
93,59,Nairobi,"('Langata', 'Nairobi', 'Kenya')",2,5.892154730974068,-0.969529080979578,36.7816659,-1.3328938,"('Nairobi', ('Langata', 'Nairobi', 'Kenya'))",1,29,"('Langata', 'Nairobi', 'Kenya')",Kenya,Nairobi,Langata,Work,1.0
94,60,Nairobi,"('Meru', 'Meru', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Meru', 'Meru', 'Kenya'))",1,30,Nairobi,Kenya,Meru,Meru,,
95,61,Nairobi,"('Meru', 'Meru', 'Kenya')",2,142.2571985436946,0.9550525161358032,37.6500063,0.0499786,"('Nairobi', ('Meru', 'Meru', 'Kenya'))",1,30,"('Meru', 'Meru', 'Kenya')",Kenya,Meru,Meru,,
96,62,Nairobi,"(""Murang'A"", ""Murang'A"", 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', (""Murang'A"", ""Murang'A"", 'Kenya'))",1,31,Nairobi,Kenya,Murang'A,Murang'A,,
97,63,Nairobi,"(""Murang'A"", ""Murang'A"", 'Kenya')",2,39.955533638380565,1.321833783295082,37.00486124961815,-0.83091505,"('Nairobi', (""Murang'A"", ""Murang'A"", 'Kenya'))",1,31,"(""Murang'A"", ""Murang'A"", 'Kenya')",Kenya,Murang'A,Murang'A,,
98,64,Nairobi,"('Nakuru', 'Nakuru', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Nakuru', 'Nakuru', 'Kenya'))",1,32,Nairobi,Kenya,Nakuru,Nakuru,Work,2.0
99,65,Nairobi,"('Nakuru', 'Nakuru', 'Kenya')",2,128.8699386874597,2.3814230183230145,36.0712048,-0.2802724,"('Nairobi', ('Nakuru', 'Nakuru', 'Kenya'))",1,32,"('Nakuru', 'Nakuru', 'Kenya')",Kenya,Nakuru,Nakuru,Work,2.0
100,66,Nairobi,"('Nyamira', 'Nyamira', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Nyamira', 'Nyamira', 'Kenya'))",1,33,Nairobi,Kenya,Nyamira,Nyamira,(No Answer),1.0
